"代码","名称","备注","涨幅","时间"
"111","****","高温合金迎来拐点，精铸叶片、粉末涡轮盘切入多个航发型号，业绩","9.97%","20250804"
"111","****","公司拥有两大驰名商标，薄荷素油占国内近一半市场份额","1.3%","20250804"
"111","****","公司拥有两大驰名商标，薄荷素油占国内近一半市场份额","1.3%","20250804"
"111","****","国内老牌医药企业，核心品种新活素加速放量","10.0%","20250804"
"111","****","探索高铁数字媒体新领域，深耕辽宁地区清洁供暖业务","3.65%","20250804"
"111","****","国内最早从事细胞工程、基因工程的生物制药企业之一","-1.01%","20250804"
"111","****","中国中药名牌产品，主要产品西洋参口服液具有抗疲劳的保健功效","1.26%","20250804"
"111","****","以高壁垒原料药中间体为核心，下延外拓打开长期成长空间","-1.13%","20250804"
"111","****","国内最早从事细胞工程、基因工程的生物制药企业之一","-1.01%","20250804"
"111","****","国内最早从事细胞工程、基因工程的生物制药企业之一","-1.01%","20250804"
"111","****","中国中药名牌产品，主要产品西洋参口服液具有抗疲劳的保健功效","1.26%","20250804"
"111","****","以高壁垒原料药中间体为核心，下延外拓打开长期成长空间","-1.13%","20250804"
"111","****","国内塑料空调风叶的龙头企业，拥有国内顶尖的塑料空调风叶研发能","10.03%","20250805"
"111","****","国内销售规模最大的智能燃气表制造商和系统供应商之一。","10.02%","20250805"
"111","****","公司是行业内兼具研发实力和规模化生产的高压清洁机主要供应商之","0.33%","20250805"
"111","****","旗下“高飞漆”为中国修补漆主流市场领先品牌","-1.19%","20250805"
"111","****","国内规模较大的十字轴万向节总成生产企业","1.64%","20250805"
"111","****","高温合金迎来拐点，精铸叶片、粉末涡轮盘切入多个航发型号，业绩","-2.95%","20250805"
"111","****","国内老牌医药企业，核心品种新活素加速放量","-5.0%","20250805"
"111","****","高温合金迎来拐点，精铸叶片、粉末涡轮盘切入多个航发型号，业绩","-2.95%","20250805"
"111","****","国内老牌医药企业，核心品种新活素加速放量","-5.0%","20250805"
"111","****","公司在妇科产品领域深耕多年，核心产品“洁尔阴洗液”在妇科炎症","-1.43%","20250805"
