
2025-06-01 09:50:04
涨停股统计信息：
建议仓位	涨停数(今/昨)	封板率(今/昨)	涨幅(今/昨)	跌停数(今/昨)
48	53/120	61.63%/80.54%	-0.3%/2.8%	19/15

2025-06-01 09:50:04
强势板块信息：
板一/板数/高度	板二/板数/高度	板三/板数/高度	板四/板数/高度	板五/板数/高度
央国企改革/13/11天6板	婴童概念/7/2天2板	新型城镇化/6/10天6板	长江三角/6/3天3板	西部大开发/5/4天4板

2025-06-01 09:50:05
龙头股信息：
代码	名称	板块	高度	标签	警告
600468	百利电气	 智能电网	11天6板	11天6板,央国企改革,军工  	7/7/20250530
603229	奥翔药业	 6.35%	 9%	 6%	 66	  1	2539	 252	-1.0	F	创新药,CRO            	5/32        	  3/67%/0.9%
301269	华大九天	-4.61%	13%	-5%	 86	 23	 768	1446	 3.0	F	EDA概念市值龙头,信创,国产芯片  	113+90      	  3/33%/2.8%
002097	山河智能	 4.16%	 9%	 4%	 91	 19	1587	1944	 4.0	F	工程机械概念,央国企改革       	3+53        	  3/67%/0.9%
000738	航发控制	 0.52%	 5%	 1%	 92	 13	2189	2090	-4.0	F	航天航空,航母概念          	32/96       	         nan
300402	宝色股份	 4.72%	14%	 4%	102	 83	1083	1699	 7.0	F	央国企改革,小金属概念        	2+22        	         nan
603998	方盛制药	 6.15%	 9%	 5%	116	-13	2328	 645	 8.0	F	高管增持,创新药,中药概念      	8+21        	         nan
002313	日海智能	 3.87%	11%	 4%	117	  2	1014	1926	-2.0	F	央国企改革,无人机          	2+21        	 17/53%/0.8%
002708	光洋股份	 -9.9%	 0%	 0%	134	-10	 933	 777	-4.0	F	汽车零部件,减速器          	4+40        	  7/57%/2.8%
600658	电子城：	 4.52%	10%	-2%	140	 42	1077	 196	-4.0	F	房地产服务,REITs概念      	2/23        	 10/60%/3.0%
600787	中储股份	 4.61%	13%	 5%	152	-35	 538	 730	 6.0	F	3日主力净流入领先,滨海新区,冷链物流	1+-1        	 10/80%/2.5%
300348	长亮科技	 2.43%	14%	 2%	172	 18	1501	1878	 4.0	F	数字货币,互联金融          	0+0         	3/100%/12.1%
603956	威派格：	 3.63%	 8%	 2%	173	-14	1917	1690	-2.0	F	乡村振兴,水利建设          	50-26/5+19  	 12/50%/2.4%
300315	掌趣科技	  4.8%	 9%	 5%	176	 -8	1323	1154	-4.0	F	游戏,网络游戏            	14/114      	         nan
301293	三博脑科	 3.15%	 5%	-1%	180	 15	1940	1121	-4.0	F	人脑工程估值龙头,人脑工程,医疗服务 	12+58       	         nan
605499	东鹏饮料	 2.55%	14%	 3%	189	-22	 294	 725	 3.0	F	食品饮料市值龙头,新零售,食品饮料  	19+346      	         nan
300034	钢研高纳	 1.46%	 4%	 1%	196	 20	2352	1535	-4.0	F	央国企改革,军民融合         	11/62       	         nan
300430	诚益通：	 3.58%	11%	 2%	205	  7	 766	 977	-4.0	F	人脑工程人气龙头,中药概念,人脑工程 	0+40        	  1/0%/-5.6%
600326	西藏天路	  5.7%	 7%	 3%	206	-37	1567	 575	 7.0	F	水泥建材,海绵城市          	6/71        	  3/67%/0.1%
300569	天能重工	 4.43%	 9%	 4%	216	-14	2262	2186	 1.0	F	风电设备,央国企改革         	4+42        	  1/0%/-1.1%
603207	小方制药	 5.19%	 8%	 5%	222	 -9	1972	 711	-2.0	F	化学制药,独家药品          	1+10        	  5/60%/3.0%
000801	四川九洲	 3.02%	 8%	 1%	223	 -5	 698	 617	-1.0	F	央国企改革,军民融合         	185-88/11+86	 10/80%/4.9%
002100	天康生物	 3.02%	 4%	 1%	224	  1	1978	 881	-3.0	F	大股东增持,鸡肉概念,猪肉概念    	11/53       	 1/100%/0.6%
003040	楚天龙：	  1.8%	13%	 2%	225	 22	 941	2079	-3.0	F	数字货币,ETC           	2+22        	  6/67%/2.5%
300129	泰胜风能	  7.0%	 9%	 4%	227	 -1	3926	2809	 0.0	F	风电设备,央国企改革         	5+44        	         nan
600352	浙江龙盛	-0.51%	 0%	-2%	238	728	1609	 970	-1.0	F	IPO受益,参股银行         	20/199      	         nan
002840	华统股份	  5.1%	 6%	 1%	245	  5	2665	1771	-4.0	F	鸡肉概念,猪肉概念          	4/29        	  1/0%/-2.1%
002132	恒星科技	 0.61%	 3%	-2%	249	321	1420	 788	 4.0	F	水利建设,黄金概念          	1/38        	  4/75%/2.9%

2025-06-01 09:52:04
热榜个股信息2：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
000555	神州信息	 0.25%	11%	 0%	 76	  5	1015	 471	 0.0	T1	昨日首板,京东金融,数字货币  	131-59/9+63	11/55%/0.1%
002015	协鑫能科	-1.86%	13%	-2%	160	 21	 613	1306	-4.0	T1	昨日首板,换电概念,高压快充  	7/63       	 1/0%/-1.9%
