
2025-05-21 09:48:25
热门板块信息(热榜350、飙升100、大涨超9%)：
类型	涨幅/股票数	板块(股票数)
热榜	-0.11%/339	央国企改革(23),谷子经济(15),参股银行(14),固态电池(12),绿色电力(12)
飙升	  1.18%/78	       黄金(10),贵金属(7),机构推荐(6),央国企改革(6),人脑工程(4)
大涨	  10.9%/34	    央国企改革(4),西部大开发(3),房地产开发(3),固态电池(3),京津冀(3)

2025-05-21 09:48:25
资金流入板块信息：
板块(量比/涨幅)
水泥建材(7.7/0.2),医药商业(7.5/1.8),电池(6.8/1.3),珠宝首饰(6.6/0.4),贵金属(6.5/1.5)

(今日与昨日量比)上证：1% 深证：2% 创业板：0% 沪深300：2% 中证1000：9% 银行板块：-40%：

2025-05-21 09:48:42
涨幅后出货少：
代码	名称	涨停时间	涨停次数	涨<1量	涨>3量	涨>2量	涨>1量	成交额	九转	标签
300240	飞力达：	20250514	1	70.0%	14.0%	6.0%	10.0%	1.128	 3.0	创投,快递概念        
603839	安正时尚	20250515	2	67.0%	20.0%	1.0%	11.0%	0.615	-5.0	纺织服装,婴童概念      
600340	华夏幸福	20250516	2	55.0%	16.0%	1.0%	28.0%	3.587	-8.0	4天2板,PPP模式,低空经济
603980	吉华集团	20250516	2	54.0%	24.0%	8.0%	14.0%	1.939	 4.0	4天2板,化工原料,化学制品 

2025-05-21 09:48:46
飙升个股信息(今日热榜飙升前100+热榜350升1000/150升450/50升150)：
代码	名称	涨幅	换手	量比	九转	热榜	热榜较昨日变动	标签	股本	涨停历史
002389	航天彩虹	-1.65%	 8	 -4%	136	-16	 429	 351	-5.0	T1	MiniLED,柔性屏(折叠屏)    	197-71/15+111	  2/0%/-3.9%
600986	浙文互联	 -2.0%	10	  4%	 21	 -9	 294	 108	 9.0	T1	昨日首板,快手概念,小米概念      	118-3/15+100 	  9/78%/2.9%
002161	远望谷：	-2.01%	13	  6%	 61	 -7	1352	1125	 1.0	T1	昨日首板,电子元件,谷子经济      	3/32         	  5/60%/3.4%
603215	比依股份	-2.32%	11	  8%	 77	  0	1279	 586	-1.0	T1	昨日首板,小米概念,AI眼镜      	2+12         	 9/22%/-0.7%
002654	万润科技	-2.57%	13	  7%	 31	  0	1564	 817	-1.0	T1	昨日首板,快手概念,存储芯片      	130-38/8+84  	  7/86%/6.6%
002165	红宝丽：	-2.67%	 4	 -7%	 92	-19	 -59	 -16	-1.0	T1	建筑节能,环氧丙烷           	2+27         	 15/73%/2.5%
002862	实丰文化	 -2.7%	10	-23%	 41	  2	 869	 999	-1.0	T1	昨日首板,宠物经济,谷子经济      	2+18         	 11/91%/6.1%
301301	川宁生物	-2.77%	19	 -2%	251	-37	-134	1144	-5.0	T1	AI制药（医疗）业绩龙头,一带一路,粮食	24/60        	  1/0%/-2.4%
002573	清新环境	-2.81%	16	 10%	 72	 -5	 922	1226	-1.0	T1	昨日首板,土壤修复,数字孪生      	2/23         	         nan
002456	欧菲光：	-2.85%	14	 10%	  1	  0	 156	 106	-1.0	T1	昨日首板,纳米银,电子后视镜      	454-70/49+335	  9/56%/2.4%
002471	中超控股	-2.91%	15	 -5%	114	-10	 -57	   2	-7.0	T2	13天7板,机器人概念,商业航天    	0+0          	  8/75%/4.5%
002530	金财互联	-3.01%	10	 -1%	161	 28	 987	 169	-2.0	T1	3日主力净流入领先,AI智能体,Sora	90-23/3+64   	 14/50%/1.2%
600006	东风股份	-3.07%	13	  9%	 37	-20	 826	 996	 4.0	T1	昨日首板,新型工业化,汽车芯片     	3+57         	  4/50%/1.9%
002915	中欣氟材	-3.25%	 6	 -9%	151	-24	 -90	 -14	-8.0	T1	钠离子电池人气龙头,新材料,PEEK材料	1/37         	 12/67%/2.8%
002297	博云新材	-3.57%	18	 10%	 22	 12	 -38	 641	-1.0	T1	昨日首板,大飞机,商业航天       	2+29         	 2/50%/-1.3%
600336	澳柯玛：	-3.63%	15	  4%	144	  8	1442	1263	-1.0	T1	冷链物流人气龙头,空气能热泵,智能家居 	3/36         	  9/67%/2.2%
