
2025-06-12 09:50:20
热门板块信息(热榜350、飙升100、大涨超9%)：
类型	涨幅/股票数	板块(股票数)
热榜	0.95%/338	谷子经济(24),数字货币(18),小金属(18),稀土永磁(16),新能源车(13)
飙升	 2.14%/76	  AI眼镜(17),采掘行业(10),油气设服(8),虚拟现实(7),石油行业(4)
大涨	10.74%/33	   谷子经济(4),新能源车(3),盲盒经济(3),汽车零部件(2),AI眼镜(2)

2025-06-12 09:50:20
资金流入板块信息：
板块(量比/涨幅)
采掘行业(5.9/1.9),家用轻工(5.1/1.3),石油行业(4.9/0.2),小金属(4.8/-0.6),游戏(4.4/0.9)

(今日与昨日量比)上证：-8% 深证：-4% 创业板：-3% 沪深300：0% 中证1000：-6% 银行板块：7%：

2025-06-12 09:50:33
涨幅后出货少：
代码	名称	涨停时间	涨停次数	涨<1量	涨>3量	涨>2量	涨>1量	成交额	九转	标签
603679	华体科技	20250605	2	66.0%	10.0%	7.0%	17.0%	0.784	-2.0	智慧灯杆,成渝特区

2025-06-12 09:50:35
飙升个股信息(今日热榜飙升前100+热榜350升1000/150升450/50升150)：
代码	名称	涨幅	换手	量比	九转	热榜	热榜较昨日变动	标签	股本	涨停历史
600223	福瑞达：	-1.94%	 19	  9%	 38	 -3	 561	 232	-1.0	T1	昨日首板,流感,央国企改革       	4+35            	  3/67%/4.1%
002300	太阳电缆	-2.31%	 14	  2%	196	-36	1242	 832	-1.0	T1	风能,电网设备             	0+0             	  4/75%/5.2%
603917	合力科技	 -2.5%	 10	  5%	 31	  9	2708	1780	-1.0	T1	昨日首板,汽车零部件,汽车一体化压铸  	0+0             	  4/75%/1.3%
002339	积成电子	-2.69%	 18	  2%	252	-33	  22	 984	-4.0	T1	北交所概念,电网设备          	0+32            	  4/50%/2.0%
603017	中衡设计	-2.73%	 15	-17%	248	-63	-155	-100	-2.0	T1	低空经济,装配建筑           	2/12            	  4/50%/2.5%
000533	顺钠股份	-3.01%	 18	 -9%	190	-28	 -76	  77	-9.0	T1	参股保险人气龙头,电网设备,抽水蓄能  	2+28            	 12/67%/4.9%
603980	吉华集团	-3.27%	 18	 -4%	211	-25	1371	1721	-1.0	T2	4天2板,化工原料,化学制品      	32-9/2+21       	  6/50%/1.9%
002759	天际股份	 -3.3%	 13	 10%	 51	  3	2575	1993	-1.0	T1	昨日首板,钠离子电池,电池       	44-13/2+29      	  6/83%/3.4%
002842	翔鹭钨业	-3.47%	 18	  5%	 44	  5	 402	 -41	-1.0	T1	昨日首板,小金属概念,小金属      	0/16            	 3/33%/-3.9%
002471	中超控股	-3.72%	  4	-10%	 62	-18	   6	  17	-3.0	T1	商业航天人气龙头,电网设备,石墨烯   	0+0             	 15/67%/3.8%
000702	正虹科技	-3.81%	 11	  8%	 63	  2	1887	1080	-1.0	T1	昨日首板,农牧饲渔,猪肉概念      	0/15            	 10/90%/4.1%
601022	宁波远洋	-4.19%	 11	 -2%	179	-60	 770	 370	-1.0	T1	统一大市场,航运港口          	6/16            	 4/100%/8.7%
002955	鸿合科技	-4.71%	  0	  0%	 59	 10	1769	 259	-1.0	T1	昨日首板,创投,托育服务        	49-20/7+22      	  2/0%/-2.6%
