
2025-04-22 22:22:12
涨停股统计信息：
建议仓位	涨停数(今/昨)	封板率(今/昨)	涨幅(今/昨)	跌停数(今/昨)
87	93/114	74.4%/78.62%	2.05%/2.41%	24/23

2025-04-22 22:22:12
强势板块信息：
板一/天/板数	板二/天/板数	板三/天/板数	板四/天/板数	板五/天/板数
央国企改革/26/13天8板	一带一路/14/13天8板	长江三角/14/14天7板	西部大开发/12/13天12板	电商概念/11/9天5板

2025-04-22 22:22:14
龙头股信息：
代码	名称	板块	板数	标签	警告
001212	中旗新材	粤港自贸	 15天9板	15天9板,粤港自贸,新材料  	8/5/20250418
301258	富士莱：	20.01%	 30.4	 7.96	 1965	0.057	 1.0	 79	2607	今日首板,化学制药,合成生物     	1+9 #                  
600501	航天晨光	 9.98%	 6.53	 3.63	60486	1.159	 2.0	 80	3233	今日首板,垃圾分类,长江三角     	1+-1 # 2+50%+-3.2%     
600876	凯盛新能	10.04%	 2.72	 5.74	 4330	0.043	 4.0	 89	4531	今日首板,央国企改革,玻璃基板    	4+15 # 2+100%+3.6%     
601515	东峰集团	 10.0%	 5.93	 3.99	15286	0.057	 8.0	 90	2882	今日首板,包装材料,创投       	58-28/6+24 # 3+67%+3.4%
603178	圣龙股份	 9.99%	 4.13	 3.29	 1030	0.018	 0.0	 92	3035	今日首板,轮毂电机,汽车热管理    	4+18 # 4+75%+3.3%      
002678	珠江钢琴	 10.0%	 2.66	10.71	91010	0.435	 0.0	 95	3483	今日首板,新零售,央国企改革     	6+11 # 2+0%+-1.4%      
000691	亚太实业	10.04%	 8.88	  2.4	98542	0.282	 3.0	102	4093	今日首板,化学制品,微盘股      	0+0 # 1+0%+0.0%        
002672	东江环保	10.03%	 0.91	  2.2	 4661	 0.02	 4.0	105	4477	今日首板,汽车拆解,医废处理     	6+18 # 3+33%+-0.4%     
600648	外高桥：	 6.24%	  4.2	 8.87	19359	 0.25	-4.0	182	2583	大股东增持,进口博览,上海自贸    	0+0 #                  
000679	大连友谊	 7.01%	10.65	 3.34	24438	 0.16	-1.0	199	2610	商业百货,新零售           	30-8/1+21 # 14+79%+3.5%
002228	合兴包装	 4.64%	 5.39	  6.3	41198	 0.13	-2.0	347	3690	数字水印业绩龙头,包装材料,娃哈哈概念	0+0 #                  

2025-04-22 22:24:52
人气个股信息1(排名350内+最近人气飙升超1000+最近涨幅<15%)：
代码	名称	涨幅	十日环比	人气排名	人气排名1日变动	人气排名3日变动	人气排名5日变动	九转	最近涨停	最近跌幅	标签	股本
002510	天汽模：	  6.53%	  7.14%	109	1112	 103	-310	-1.0	F	 -3.53%	京津冀,小米汽车          	2+55 # 7+71%+4.5%      
002423	中粮资本	  5.44%	  -2.6%	139	1211	 304	 -71	-4.0	F	 -3.78%	多元金融,互联金融         	3+-3 # 11+100%+8.1%    
600822	上海物贸	  7.65%	  4.74%	156	1974	1221	-619	 1.0	F	 -3.95%	进口博览,上海自贸         	0+26 # 4+75%+1.8%      
600389	江山股份	  7.99%	  3.07%	174	1408	1097	1116	 0.0	F	  1.33%	农药兽药,草甘膦          	3+41 # 1+0%+-4.0%      
600648	外高桥：	  6.24%	   2.5%	182	2583	 635	2400	-4.0	F	  3.49%	大股东增持,进口博览,上海自贸   	0+0 #                  
600838	上海九百	  5.12%	  7.43%	187	1169	 362	 523	 2.0	F	  1.51%	商业百货,新零售          	3+24 # 8+62%+2.9%      
002076	星光股份	 -9.96%	 -4.15%	196	 121	 887	 161	 0.0	F	-12.01%	LED,新能源车          	3+36 # 14+57%+2.3%     
000679	大连友谊	  7.01%	 -7.08%	199	2610	 295	-343	-1.0	F	 -6.13%	商业百货,新零售          	30-8/1+21 # 14+79%+3.5%
600390	五矿资本	  2.78%	   0.0%	242	1641	 354	 228	-4.0	F	 -1.83%	多元金融业绩龙头,多元金融,参股券商	4+-4 # 8+88%+8.5%      
002800	天顺股份	  5.95%	-13.59%	244	1122	-101	-581	 8.0	F	-14.23%	统一大市场,物流行业        	0+0 # 6+50%+1.9%       
301293	三博脑科	-10.17%	  3.26%	245	 331	 267	 618	-3.0	F	 -1.39%	人脑工程估值龙头,医疗服务,人脑工程	12+58 #                
002555	三七互娱	  2.11%	  5.67%	251	   4	   8	 648	 2.0	F	  4.91%	3日主力净流入领先,创投,在线教育 	36+178 # 2+50%+2.7%    

2025-04-22 22:24:52
人气个股信息2：
代码	名称	涨幅	十日环比	人气排名	人气排名1日变动	人气排名3日变动	人气排名5日变动	九转	最近涨停	最近跌幅	标签	股本
002194	武汉凡谷	 4.03%	 6.97%	 31	 -23	 305	1543	 3.0	T2	  8.39%	3天2板,创投,职业教育        	2+52 # 7+57%+1.4%     
000560	我爱我家	  1.4%	 7.42%	128	  -1	  19	 902	-1.0	T1	 13.65%	租售同权,鸿蒙概念           	8+45 # 7+57%+2.2%     
000514	渝开发：	 4.66%	11.41%	138	  92	 -91	3558	-1.0	T2	 18.73%	4天2板,化债(AMC)概念,房地产开发	0+0 # 6+67%+2.4%      
603042	华脉科技	-4.72%	 9.27%	150	-124	 788	2606	 3.0	T2	  9.33%	3天2板,5G概念,边缘计算      	1+18 # 10+40%+0.8%    
002279	久其软件	-0.29%	14.09%	155	-138	  30	 708	-4.0	T2	-12.69%	昨日首板,化债(AMC)概念,雄安新区 	1+47 # 7+57%+0.0%     
002492	恒基达鑫	 5.26%	 9.63%	183	 861	-217	2410	-4.0	T1	  4.11%	物流行业,快递概念           	0+0 # 1+0%+-5.3%      
600575	淮河能源	 2.78%	10.06%	188	  -1	 -74	 769	 2.0	T1	  7.73%	一带一路,煤化工            	6+43 # 2+0%+-1.1%     
000620	新华联：	-4.57%	 4.38%	210	-172	 442	2512	 2.0	T2	  9.82%	3天2板,参股银行,京津冀       	2+-2 # 7+71%+4.4%     
603900	莱绅通灵	-2.15%	10.48%	215	-133	  63	1182	-2.0	T2	  1.77%	4天2板,黄金概念,新零售       	1+9 # 7+57%+1.6%      
600860	京城股份	 0.89%	 2.96%	218	-169	1193	2053	 3.0	T1	 -2.17%	昨日首板,央国企改革,天然气      	1+28 # 6+67%+0.8%     
002345	潮宏基：	 2.82%	 6.17%	222	-154	 841	 -92	-2.0	T1	 -9.01%	昨日首板,珠宝首饰,黄金概念      	8+42 # 2+50%+1.9%     
002177	御银股份	-4.25%	 7.84%	239	 -94	 499	1267	-1.0	T1	  8.33%	计算机设备,生物识别          	33-1/1+31 # 9+67%+2.5%
002479	富春环保	  1.9%	 6.19%	252	-201	2537	 639	 3.0	T1	 -1.24%	昨日首板,黄金概念,垃圾分类      	2+26 # 2+0%+-4.6%     

2025-04-22 22:24:52
人气个股信息3（人气个股信息1排名350内+最近人气飙升超1000+最近涨停+最近跌幅超5%)：
代码	名称	涨幅	十日环比	人气排名	人气排名1日变动	人气排名3日变动	人气排名5日变动	九转	最近涨停	最近跌幅	标签	股本
002570	贝因美：	 4.05%	16.72%	 22	  21	 -24	 -21	 1.0	T1	-10.14%	小红书概念人气龙头,NFT概念,电商概念	6+44 # 18+72%+4.7%        
